order_id,order_line_id,order_date,ship_date,customer_id,customer_tier,product_id,product_name,category,sub_category,store_id,store_name,suburb,state,postcode,fulfillment_channel,quantity,unit_price,discount_rate,shipping_cost,sales_amount,profit,return
ORD00001,1,45825,45828,CUST000113,Gold,POD20,High-Waist Jeans,Apparel,Bottoms,ST13,Melbourne Retail - Preston,Preston,VIC,3072,Pick up,80,60,0.13,0,4176,1296,FALSE
ORD00001,2,45974,45979,CUST000192,Silver,POD19,Chino Pants,Apparel,Bottoms,ST13,Melbourne Retail - Preston,Preston,VIC,3072,Online,65,75,0.12,50,4340,1405,FALSE
ORD00001,3,45701,45701,CUST000113,Silver,POD30,Non-Stick Frypan 28cm,Home & Living,Kitchen & Dining,ST17,Melbourne Retail - Footscray,Footscray,VIC,3011,Online,55,80,0.11,50,3966,1316,FALSE
ORD00001,4,45300,45301,CUST000158,Bronze,POD1,Wireless Headphones,Electronics,Audio Devices,ST13,Melbourne Retail - Preston,Preston,VIC,3072,Online,120,50,0.08,50,5570,1960,FALSE
ORD00002,1,45648,45648,CUST00026,Gold,POD18,Slim Fit Jeans,Apparel,Bottoms,ST11,Melbourne Retail - Box Hill,Box Hill,VIC,3128,Online,70,80,0.09,50,5146,1776,FALSE
ORD00002,2,45753,45753,CUST00013,Platinum,POD4,4K Monitor,Electronics,Computer Accessories,ST9,Melbourne Retail - Camberwell,Camberwell,VIC,3124,Pick up,450,30,0.15,0,11475,3375,FALSE
ORD00002,3,45838,45841,CUST00097,Silver,POD22,Mid-Length Jacket,Apparel,Outerwear,ST15,Melbourne Retail - St Kilda,St Kilda,VIC,3182,Pick up,120,45,0.11,0,4806,1566,FALSE
ORD00002,4,45558,45559,CUST000104,Bronze,POD66,Razor – 5 Blade,Beauty,Personal Care,ST9,Melbourne Retail - Camberwell,Camberwell,VIC,3124,Online,35,90,0.12,50,2822,922,FALSE
ORD00003,1,45587,45587,CUST000112,Platinum,POD32,Bamboo Cutting Board,Home & Living,Kitchen & Dining,ST15,Melbourne Retail - St Kilda,St Kilda,VIC,3182,In Store,30,100,0.08,0,2760,960,FALSE
ORD00003,2,45335,45335,CUST00046,Bronze,POD26,Brown Belt,Apparel,Accessories,ST18,Melbourne Retail - Sunshine,Sunshine,VIC,3020,Pick up,35,100,0.06,0,3290,1190,FALSE
ORD00003,3,45949,45949,CUST000179,Silver,POD49,Face Moisturiser,Beauty,Skincare,ST12,Melbourne Retail - Doncaster,Doncaster,VIC,3108,Online,45,100,0.13,50,3965,1255,FALSE
